,season,abbreviation,playoffs,w,l,pw,pl,mov,srs,o_rtg,x3p_ar,e_fg_percent,tov_percent,orb_percent,ft_fga
0,2024,ATL,False,20.0,27.0,20.0,27.0,-2.68,-2.83,118.2,0.404,0.537,11.7,28.2,0.218
1,2024,BOS,False,37.0,11.0,36.0,12.0,9.4,10.05,121.3,0.472,0.567,11.1,24.7,0.199
2,2024,BRK,False,19.0,28.0,22.0,25.0,-1.15,-1.2,115.8,0.415,0.537,11.2,26.1,0.178
3,2024,CHI,False,23.0,26.0,22.0,27.0,-1.43,-2.2,113.8,0.368,0.531,11.2,24.6,0.184
4,2024,CHO,False,10.0,36.0,9.0,37.0,-11.67,-11.67,110.1,0.373,0.526,12.4,23.2,0.169
5,2024,CLE,False,29.0,16.0,28.0,17.0,4.36,4.21,116.0,0.415,0.553,12.3,25.6,0.184
6,2024,DAL,False,26.0,22.0,23.0,25.0,-0.38,-0.25,118.1,0.451,0.557,10.9,22.8,0.2
7,2024,DEN,False,33.0,16.0,30.0,19.0,3.94,4.57,118.5,0.35,0.558,11.3,25.8,0.177
8,2024,DET,False,6.0,41.0,11.0,36.0,-9.64,-9.48,111.6,0.348,0.536,13.6,25.1,0.195
9,2024,GSW,False,20.0,24.0,22.0,22.0,-0.18,0.87,118.2,0.439,0.554,12.6,27.8,0.197
10,2024,HOU,False,22.0,25.0,25.0,22.0,0.96,1.14,113.6,0.383,0.529,11.2,23.6,0.206
11,2024,IND,False,27.0,21.0,27.0,21.0,1.9,1.87,121.7,0.391,0.58,11.6,24.8,0.182
12,2024,LAC,False,31.0,15.0,31.0,15.0,6.35,6.31,120.6,0.378,0.568,11.7,25.6,0.211
13,2024,LAL,False,24.0,25.0,22.0,27.0,-1.41,-1.04,113.9,0.349,0.556,12.7,19.8,0.217
14,2024,MEM,False,18.0,29.0,16.0,31.0,-5.11,-4.61,108.1,0.443,0.516,13.0,22.3,0.185
15,2024,MIA,False,25.0,23.0,22.0,26.0,-1.13,-1.61,113.8,0.389,0.535,12.1,22.2,0.225
16,2024,MIL,False,32.0,16.0,29.0,19.0,3.94,3.18,121.0,0.42,0.576,11.3,22.4,0.229
17,2024,MIN,False,34.0,14.0,33.0,15.0,6.08,6.16,115.3,0.375,0.564,13.7,23.1,0.22
18,2024,NOP,False,27.0,21.0,29.0,19.0,3.65,3.94,117.7,0.365,0.556,11.9,25.3,0.216
19,2024,NYK,False,31.0,17.0,33.0,15.0,6.08,5.58,119.1,0.399,0.545,11.9,29.1,0.21
20,2024,OKC,False,33.0,15.0,34.0,14.0,7.79,7.93,120.2,0.373,0.573,11.3,21.1,0.209
21,2024,ORL,False,25.0,23.0,25.0,23.0,0.71,0.98,112.8,0.363,0.531,12.9,26.0,0.231
22,2024,PHI,False,29.0,17.0,31.0,15.0,6.33,5.42,119.8,0.355,0.541,10.8,25.2,0.258
